时间,策略权益,策略单位净值,基准单位净值
2024-11-20,774618.3341,0.774618,1.1616569612066348
2024-11-21,774618.3341,0.774618,1.1626843838490863
2024-11-22,774618.3341,0.774618,1.1266613465223017
2024-11-25,774618.3341,0.774618,1.121529479425885
2024-11-26,774618.3341,0.774618,1.1192252104778107
2024-11-27,774618.3341,0.774618,1.1387116163198387
2024-11-28,774618.3341,0.774618,1.1286582513722454
2024-11-29,774618.3341,0.774618,1.1414916205394645
2024-12-02,774618.3341,0.774618,1.1505408206248364
2024-12-03,774618.3341,0.774618,1.1517821682132654
2024-12-04,774618.3341,0.774618,1.145564238557325
2024-12-05,774618.3341,0.774618,1.142950303049168
2024-12-06,774618.3341,0.774618,1.157975295399311
2024-12-09,774618.3341,0.774618,1.1560605505524613
2024-12-10,774618.3341,0.774618,1.1645318909779019
2024-12-11,774618.3341,0.774618,1.1625482471430018
2024-12-12,774618.3341,0.774618,1.174111269359224
2024-12-13,761408.1429,0.761408,1.1463290056666504
2024-12-16,764688.1429,0.764688,1.1401096770464858
2024-12-17,777008.1429,0.777008,1.1430800861260666
2024-12-18,782408.1429,0.782408,1.1488673096714273
2024-12-19,774212.1429,0.774212,1.1499088093913867
2024-12-20,772160.9429,0.772161,1.1447444746669293
2024-12-23,773940.9429,0.773941,1.1464429629607609
2024-12-24,778888.9429,0.778889,1.1610494318471116
2024-12-25,775360.9429,0.775361,1.1616151088602555
2024-12-26,774476.9429,0.774477,1.1621545844392802
2024-12-27,774948.9429,0.774949,1.1602749011333038
2024-12-30,773360.9429,0.773361,1.1655280700860093
2024-12-31,772960.9429,0.772961,1.1468332448342735
2025-01-02,758560.9429,0.758561,1.1134575432865033
2025-01-03,753360.9429,0.753361,1.1002751034002147
2025-01-06,743224.9384,0.743225,1.0984695360530423
2025-01-07,743224.9384,0.743225,1.106378288844668
2025-01-08,743224.9384,0.743225,1.1043701339907532
2025-01-09,743224.9384,0.743225,1.1016485656725832
2025-01-10,743224.9384,0.743225,1.087834755744781
2025-01-13,743224.9384,0.743225,1.0849296899525136
2025-01-14,743224.9384,0.743225,1.1134995996484987
2025-01-15,743224.9384,0.743225,1.1063551184997018
2025-01-16,743224.9384,0.743225,1.1076251448547305
2025-01-17,743224.9384,0.743225,1.1111106933648498
2025-01-20,743224.9384,0.743225,1.116162557194685
2025-01-21,743224.9384,0.743225,1.1170188690254428
2025-01-22,743224.9384,0.743225,1.1066438297415073
2025-01-23,743224.9384,0.743225,1.1086045072470574
